"filename", "language", "JSON", "JavaScript", "CSS", "Markdown", "SCSS", "HTML", "JavaScript JSX", "XML", "comment", "blank", "total"
"d:\JUSTIN\CODE\chlm\chlm2023\frontend\src\components\user\dashboard\vendors\VendorLocationForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 154, 0, 18, 20, 192
"d:\JUSTIN\CODE\chlm\chlm2023\frontend\src\components\user\dashboard\vendors\VendorOverview.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 281, 0, 11, 28, 320
"d:\JUSTIN\CODE\chlm\chlm2023\frontend\src\components\user\dashboard\vendors\VendorProductDataTable.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 237, 0, 19, 32, 288
"d:\JUSTIN\CODE\chlm\chlm2023\frontend\src\components\user\dashboard\vendors\VendorProductForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 290, 0, 26, 34, 350
"d:\JUSTIN\CODE\chlm\chlm2023\frontend\src\components\user\dashboard\waitlist\WaitListForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 476, 0, 47, 46, 569
"d:\JUSTIN\CODE\chlm\chlm2023\frontend\src\components\user\dashboard\waitlist\WaitListForm.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\JUSTIN\CODE\chlm\chlm2023\frontend\src\components\user\dashboard\workdays\EditWorkdayForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 322, 0, 20, 34, 376
"d:\JUSTIN\CODE\chlm\chlm2023\frontend\src\components\user\dashboard\workdays\WorkdayForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 230, 0, 22, 30, 282
"d:\JUSTIN\CODE\chlm\chlm2023\frontend\src\features\auth\authService.js", "JavaScript", 0, 25, 0, 0, 0, 0, 0, 0, 4, 11, 40
"d:\JUSTIN\CODE\chlm\chlm2023\frontend\src\features\auth\authSlice.js", "JavaScript", 0, 90, 0, 0, 0, 0, 0, 0, 8, 11, 109
"d:\JUSTIN\CODE\chlm\chlm2023\frontend\src\features\deliveries\deliveryService.js", "JavaScript", 0, 49, 0, 0, 0, 0, 0, 0, 4, 12, 65
"d:\JUSTIN\CODE\chlm\chlm2023\frontend\src\features\deliveries\deliverySlice.js", "JavaScript", 0, 159, 0, 0, 0, 0, 0, 0, 13, 12, 184
"d:\JUSTIN\CODE\chlm\chlm2023\frontend\src\features\deliveryClients\deliveryClientService.js", "JavaScript", 0, 49, 0, 0, 0, 0, 0, 0, 4, 12, 65
"d:\JUSTIN\CODE\chlm\chlm2023\frontend\src\features\deliveryClients\deliveryClientSlice.js", "JavaScript", 0, 168, 0, 0, 0, 0, 0, 0, 13, 11, 192
"d:\JUSTIN\CODE\chlm\chlm2023\frontend\src\features\drivers\driverService.js", "JavaScript", 0, 45, 0, 0, 0, 0, 0, 0, 4, 11, 60
"d:\JUSTIN\CODE\chlm\chlm2023\frontend\src\features\drivers\driverSlice.js", "JavaScript", 0, 140, 0, 0, 0, 0, 0, 0, 10, 9, 159
"d:\JUSTIN\CODE\chlm\chlm2023\frontend\src\features\freightRoutes\freightRouteService.js", "JavaScript", 0, 45, 0, 0, 0, 0, 0, 0, 4, 11, 60
"d:\JUSTIN\CODE\chlm\chlm2023\frontend\src\features\freightRoutes\freightRouteSlice.js", "JavaScript", 0, 150, 0, 0, 0, 0, 0, 0, 9, 9, 168
"d:\JUSTIN\CODE\chlm\chlm2023\frontend\src\features\hauls\haulService.js", "JavaScript", 0, 45, 0, 0, 0, 0, 0, 0, 4, 11, 60
"d:\JUSTIN\CODE\chlm\chlm2023\frontend\src\features\hauls\haulSlice.js", "JavaScript", 0, 134, 0, 0, 0, 0, 0, 0, 12, 9, 155
"d:\JUSTIN\CODE\chlm\chlm2023\frontend\src\features\materialCategory\materialCategoryService.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 0, 1, 5, 21
"d:\JUSTIN\CODE\chlm\chlm2023\frontend\src\features\materialCategory\materialCategorySlice.js", "JavaScript", 0, 57, 0, 0, 0, 0, 0, 0, 2, 5, 64
"d:\JUSTIN\CODE\chlm\chlm2023\frontend\src\features\materials\materialService.js", "JavaScript", 0, 56, 0, 0, 0, 0, 0, 0, 4, 8, 68
"d:\JUSTIN\CODE\chlm\chlm2023\frontend\src\features\materials\materialSlice.js", "JavaScript", 0, 156, 0, 0, 0, 0, 0, 0, 9, 8, 173
"d:\JUSTIN\CODE\chlm\chlm2023\frontend\src\features\vendorLocations\vendorLocationService.js", "JavaScript", 0, 49, 0, 0, 0, 0, 0, 0, 4, 11, 64
"d:\JUSTIN\CODE\chlm\chlm2023\frontend\src\features\vendorLocations\vendorLocationSlice.js", "JavaScript", 0, 149, 0, 0, 0, 0, 0, 0, 9, 9, 167
"d:\JUSTIN\CODE\chlm\chlm2023\frontend\src\features\vendorProducts\vendorProductService.js", "JavaScript", 0, 45, 0, 0, 0, 0, 0, 0, 4, 11, 60
"d:\JUSTIN\CODE\chlm\chlm2023\frontend\src\features\vendorProducts\vendorProductSlice.js", "JavaScript", 0, 122, 0, 0, 0, 0, 0, 0, 9, 9, 140
"d:\JUSTIN\CODE\chlm\chlm2023\frontend\src\features\vendors\vendorService.js", "JavaScript", 0, 45, 0, 0, 0, 0, 0, 0, 4, 11, 60
"d:\JUSTIN\CODE\chlm\chlm2023\frontend\src\features\vendors\vendorSlice.js", "JavaScript", 0, 140, 0, 0, 0, 0, 0, 0, 9, 9, 158
"d:\JUSTIN\CODE\chlm\chlm2023\frontend\src\index.js", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 0, 6, 5, 31
"d:\JUSTIN\CODE\chlm\chlm2023\frontend\src\index.scss", "SCSS", 0, 0, 0, 0, 356, 0, 0, 0, 31, 71, 458
"d:\JUSTIN\CODE\chlm\chlm2023\frontend\src\pages\About.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 8, 0, 0, 2, 10
"d:\JUSTIN\CODE\chlm\chlm2023\frontend\src\pages\Calculator\Calculator.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 329, 0, 7, 17, 353
"d:\JUSTIN\CODE\chlm\chlm2023\frontend\src\pages\Calculator\Calculator.module.scss", "SCSS", 0, 0, 0, 0, 93, 0, 0, 0, 3, 12, 108
"d:\JUSTIN\CODE\chlm\chlm2023\frontend\src\pages\Calculator\FormDispay\FormDisplay.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 2373, 0, 148, 190, 2711
"d:\JUSTIN\CODE\chlm\chlm2023\frontend\src\pages\Calculator\FormDispay\FormDisplay.module.scss", "SCSS", 0, 0, 0, 0, 8, 0, 0, 0, 2, 3, 13
"d:\JUSTIN\CODE\chlm\chlm2023\frontend\src\pages\Calculator\ShapeDisplay.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 615, 0, 27, 31, 673
"d:\JUSTIN\CODE\chlm\chlm2023\frontend\src\pages\Carports.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 8, 0, 0, 2, 10
"d:\JUSTIN\CODE\chlm\chlm2023\frontend\src\pages\Contact.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 8, 0, 0, 2, 10
"d:\JUSTIN\CODE\chlm\chlm2023\frontend\src\pages\Help\Help.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 640, 0, 32, 84, 756
"d:\JUSTIN\CODE\chlm\chlm2023\frontend\src\pages\Help\Help.module.scss", "SCSS", 0, 0, 0, 0, 358, 0, 0, 0, 40, 59, 457
